clyde_32bit-shadow_32bit-x86-64-bench | 524288 bytes, ns/iter: 7.511e+06, ns/byte: 14.33
clyde_64bit-shadow_128bit-haswell-bench | 16 bytes, ns/iter: 717.1, ns/byte: 44.82
clyde_64bit-shadow_128bit-haswell-bench | 32 bytes, ns/iter: 683.7, ns/byte: 21.37
clyde_64bit-shadow_128bit-haswell-bench | 64 bytes, ns/iter: 887.1, ns/byte: 13.86
clyde_64bit-shadow_128bit-haswell-bench | 128 bytes, ns/iter: 1299, ns/byte: 10.15
clyde_64bit-shadow_128bit-haswell-bench | 256 bytes, ns/iter: 2125, ns/byte: 8.3
clyde_64bit-shadow_128bit-haswell-bench | 512 bytes, ns/iter: 3784, ns/byte: 7.391
clyde_64bit-shadow_128bit-haswell-bench | 1024 bytes, ns/iter: 7077, ns/byte: 6.912
clyde_64bit-shadow_128bit-haswell-bench | 2048 bytes, ns/iter: 1.366e+04, ns/byte: 6.671
clyde_64bit-shadow_128bit-haswell-bench | 4096 bytes, ns/iter: 2.684e+04, ns/byte: 6.554
clyde_64bit-shadow_128bit-haswell-bench | 8192 bytes, ns/iter: 5.314e+04, ns/byte: 6.486
clyde_64bit-shadow_128bit-haswell-bench | 16384 bytes, ns/iter: 1.059e+05, ns/byte: 6.464
clyde_64bit-shadow_128bit-haswell-bench | 32768 bytes, ns/iter: 2.114e+05, ns/byte: 6.452
clyde_64bit-shadow_128bit-haswell-bench | 65536 bytes, ns/iter: 4.222e+05, ns/byte: 6.442
clyde_64bit-shadow_128bit-haswell-bench | 131072 bytes, ns/iter: 8.44e+05, ns/byte: 6.439
clyde_64bit-shadow_128bit-haswell-bench | 262144 bytes, ns/iter: 1.688e+06, ns/byte: 6.438
clyde_64bit-shadow_128bit-haswell-bench | 524288 bytes, ns/iter: 3.375e+06, ns/byte: 6.437
clyde_64bit-shadow_128bit-skylake-avx512-bench | 16 bytes, ns/iter: 624.1, ns/byte: 39.01
clyde_64bit-shadow_128bit-skylake-avx512-bench | 32 bytes, ns/iter: 595, ns/byte: 18.6
clyde_64bit-shadow_128bit-skylake-avx512-bench | 64 bytes, ns/iter: 747.6, ns/byte: 11.68
clyde_64bit-shadow_128bit-skylake-avx512-bench | 128 bytes, ns/iter: 1056, ns/byte: 8.248
clyde_64bit-shadow_128bit-skylake-avx512-bench | 256 bytes, ns/iter: 1672, ns/byte: 6.533
clyde_64bit-shadow_128bit-skylake-avx512-bench | 512 bytes, ns/iter: 2934, ns/byte: 5.731
clyde_64bit-shadow_128bit-skylake-avx512-bench | 1024 bytes, ns/iter: 5382, ns/byte: 5.256
clyde_64bit-shadow_128bit-skylake-avx512-bench | 2048 bytes, ns/iter: 1.031e+04, ns/byte: 5.032
clyde_64bit-shadow_128bit-skylake-avx512-bench | 4096 bytes, ns/iter: 2.017e+04, ns/byte: 4.923
clyde_64bit-shadow_128bit-skylake-avx512-bench | 8192 bytes, ns/iter: 3.988e+04, ns/byte: 4.868
clyde_64bit-shadow_128bit-skylake-avx512-bench | 16384 bytes, ns/iter: 7.953e+04, ns/byte: 4.854
clyde_64bit-shadow_128bit-skylake-avx512-bench | 32768 bytes, ns/iter: 1.586e+05, ns/byte: 4.839
clyde_64bit-shadow_128bit-skylake-avx512-bench | 65536 bytes, ns/iter: 3.163e+05, ns/byte: 4.826
clyde_64bit-shadow_128bit-skylake-avx512-bench | 131072 bytes, ns/iter: 6.325e+05, ns/byte: 4.826
clyde_64bit-shadow_128bit-skylake-avx512-bench | 262144 bytes, ns/iter: 1.264e+06, ns/byte: 4.822
clyde_64bit-shadow_128bit-skylake-avx512-bench | 524288 bytes, ns/iter: 2.53e+06, ns/byte: 4.825
